16574 	84 	14 	177 	19141 	51 	113 	116 	16701 	116 	99 	105 	65 	95 	6017 	12 	1 	104 	390 	62 	4094 	54 	0 	475 	136 	29 	3 	40 	7 	0 	1 	2 	0 	0 	0 	0 	
38 	3 	12 	21 	115 	8 	15 	6 	247 	2 	10 	6 	7 	8 	8 	106 	1 	3 	16 	85 	25 	13 	9 	0 	1 	10 	1 	4 	5 	0 	1 	0 	0 	0 	0 	0 	
172 	64 	56 	77 	152 	20 	33 	29 	72 	13 	48 	72 	98 	128 	105 	98 	0 	64 	349 	150 	64 	14 	39 	0 	0 	24 	0 	11 	1 	1 	0 	0 	0 	1 	1 	0 	
1673 	231 	44 	414 	8370 	100 	270 	121 	4122 	19 	149 	594 	88 	125 	904 	75 	2 	82 	271 	3207 	16393 	168 	2446 	151 	13 	0 	0 	29 	10 	9 	2 	6 	4 	4 	0 	1 	
59 	35 	4 	80 	45 	17 	16 	42 	13 	29 	17 	10 	54 	10 	5 	38 	0 	8 	49 	14 	24 	14 	15 	1026 	1 	93 	0 	231 	128 	115 	86 	83 	91 	90 	62 	74 	
34 	38 	1 	44 	15 	19 	17 	24 	17 	36 	18 	5 	19 	14 	10 	11 	0 	6 	40 	7 	6 	9 	9 	133 	0 	6 	168 	0 	133 	100 	73 	108 	79 	97 	155 	986 	
45 	25 	2 	28 	17 	19 	19 	6 	7 	12 	5 	6 	19 	6 	8 	15 	0 	3 	19 	6 	19 	11 	14 	89 	0 	8 	488 	100 	0 	121 	83 	98 	65 	58 	80 	81 	
54 	21 	6 	31 	11 	17 	10 	14 	18 	3 	9 	7 	31 	9 	8 	10 	0 	1 	26 	4 	8 	4 	17 	50 	0 	8 	96 	83 	66 	0 	42 	62 	48 	53 	39 	40 	
21 	30 	2 	32 	16 	19 	10 	4 	8 	5 	3 	7 	20 	11 	8 	14 	0 	7 	19 	2 	10 	2 	8 	41 	1 	4 	76 	57 	52 	41 	0 	75 	41 	49 	48 	59 	
34 	31 	6 	27 	15 	16 	10 	8 	18 	16 	12 	12 	25 	7 	6 	12 	0 	5 	20 	8 	15 	10 	15 	51 	0 	15 	107 	62 	63 	42 	38 	0 	43 	47 	32 	52 	
27 	16 	3 	22 	16 	14 	9 	11 	14 	10 	4 	8 	10 	7 	6 	5 	1 	2 	14 	4 	9 	7 	14 	30 	0 	11 	61 	56 	42 	36 	53 	30 	0 	40 	24 	46 	
33 	20 	0 	40 	12 	7 	6 	12 	9 	9 	10 	7 	6 	4 	6 	10 	0 	8 	20 	4 	20 	8 	6 	46 	0 	7 	47 	65 	42 	36 	39 	48 	37 	0 	44 	33 	
20 	22 	5 	21 	19 	7 	8 	12 	11 	9 	6 	8 	11 	5 	5 	7 	0 	5 	18 	0 	18 	5 	2 	62 	0 	8 	59 	80 	64 	79 	78 	60 	92 	84 	0 	68 	
47 	40 	2 	16 	20 	12 	8 	12 	21 	43 	8 	4 	14 	11 	5 	8 	0 	4 	21 	8 	12 	10 	16 	622 	0 	26 	126 	134 	158 	169 	150 	95 	165 	225 	352 	0 	
