# Retrieved Sullivan and Weierud Breaking German Army Ciphers BREAKING GERMAN ARMY CIPHERS, appendix C, pg 224
# http://cryptocellar.org/Enigma
A	6.09
B	2.20
C	0.72
D	2.90
E	12.91
F	3.03
G	2.81
H	1.88
I	6.16
J	0.41
K	1.99
L	3.90
M	2.72
N	8.41
O	4.42
P	1.47
Q	2.02
R	6.87
S	6.23
T	5.41
U	4.47
V	1.38
W	1.68
X	6.98
Y	0.89
Z	2.06
